Skills,Tools,Interest,Education Level,Years of Experience,Recommended Career
"PyTorch, CSS, React, Deep Learning, Azure","GitLab, Docker, Kubernetes, GitHub",Web Development,Undergraduate,2,Frontend Developer
"Docker, SQL, Figma, JavaScript, REST APIs","AWS EC2, VS Code, GitHub, Docker",Cybersecurity,Postgraduate,2,Security Engineer
"SQL, Azure, Linux, UI/UX, Power BI, Hadoop","Postman, VS Code, Jira, GitLab",IoT,Graduate,0,Embedded Systems Engineer
"Tableau, Machine Learning, SQL, AWS, HTML","Figma, Kubernetes, GitHub",AI/ML,Postgraduate,9,AI Engineer
"TensorFlow, React, Docker, Git, JavaScript","Postman, PyCharm",AI/ML,Graduate,1,Machine Learning Engineer
"Statistics, Networking, CSS, Git, UI/UX, Deep Learning, Kubernetes","Azure Portal, GitLab, Postman, Kubernetes",Web Development,Undergraduate,0,Backend Developer
"Python, AWS, TensorFlow, PyTorch, React, Statistics","Docker, VS Code, Kubernetes",Data Science,Undergraduate,10,Data Analyst
"REST APIs, Linux, UI/UX, Tableau","VS Code, Jira",AI/ML,Undergraduate,1,AI Engineer
"Embedded Systems, Networking, Tableau, PyTorch, AWS, Machine Learning, Python","Jira, Kubernetes, VS Code, Azure Portal",Data Science,Undergraduate,4,Data Analyst
"TensorFlow, Data Analysis, Statistics, Networking","GitHub, Kubernetes, AWS EC2",Cybersecurity,Undergraduate,3,Security Engineer
"React, Tableau, Statistics, PyTorch, JavaScript","VS Code, AWS EC2, Google Cloud, Docker",IoT,Graduate,2,Embedded Systems Engineer
"Python, TensorFlow, Kubernetes, Data Analysis, C++","VS Code, Google Cloud, AWS EC2",Cloud,Graduate,1,Cloud Engineer
"Statistics, JavaScript, TensorFlow, Linux, Azure, Python, C++","Jira, Jupyter",Cloud,Undergraduate,8,Cloud Engineer
"Java, AWS, NLP, Power BI, Spark, REST APIs","Jira, Google Cloud, GitLab",IoT,Undergraduate,4,Embedded Systems Engineer
"SQL, Tableau, UI/UX, Hadoop, Azure, HTML, Python","AWS EC2, GitLab",IoT,Graduate,9,Embedded Systems Engineer
"Figma, Spark, Git, Data Analysis, AWS","AWS EC2, Docker",Design,Undergraduate,2,UI/UX Designer
"UI/UX, Embedded Systems, Spark, Machine Learning, React, Statistics, TensorFlow","Jupyter, PyCharm, Postman",Cloud,Undergraduate,7,DevOps Engineer
"Machine Learning, Deep Learning, Hadoop, Kubernetes, Spark","Docker, AWS EC2, Azure Portal, Kubernetes",Data Science,Graduate,2,Data Analyst
"C++, Spark, Tableau, JavaScript, Linux, Python, Hadoop","Jupyter, VS Code, PyCharm, Postman",AI/ML,Undergraduate,3,Machine Learning Engineer
"Linux, Tableau, Figma, Spark, Deep Learning, SQL","Docker, PyCharm, Jira, Jupyter",Cloud,Graduate,3,DevOps Engineer
"Cybersecurity, PyTorch, Spark, NLP, SQL, React, Linux","AWS EC2, GitLab, Google Cloud",Cybersecurity,Postgraduate,4,Cybersecurity Analyst
"Python, Cybersecurity, Figma, C++, Git, PyTorch, Power BI","Kubernetes, Google Cloud",Web Development,Postgraduate,2,Frontend Developer
"Git, JavaScript, Statistics, React, Python","Postman, Google Cloud, Figma, VS Code",AI/ML,Undergraduate,4,Machine Learning Engineer
"TensorFlow, JavaScript, AWS, Data Analysis, HTML, NLP, React","PyCharm, VS Code, AWS EC2",Data Science,Graduate,7,Data Analyst
"AWS, SQL, Figma, JavaScript, Machine Learning, Embedded Systems","Jupyter, GitLab, Azure Portal",AI/ML,Graduate,8,AI Engineer
"Java, C++, Statistics, CSS, Cybersecurity, PyTorch","Docker, Postman, Azure Portal",Design,Undergraduate,9,UI/UX Designer
"Git, Statistics, Node.js, SQL, JavaScript","AWS EC2, Docker, GitLab",Cybersecurity,Postgraduate,2,Cybersecurity Analyst
"Linux, Python, Hadoop, UI/UX, Spark, Statistics","PyCharm, Jira, AWS EC2, VS Code",Design,Undergraduate,7,UI/UX Designer
"Networking, UI/UX, C++, Azure, JavaScript, CSS, Python","GitHub, Azure Portal",Cloud,Undergraduate,10,DevOps Engineer
"AWS, Statistics, Hadoop, UI/UX, Networking","Docker, Kubernetes, VS Code",Cloud,Graduate,9,DevOps Engineer
"Tableau, Power BI, NLP, Java","Google Cloud, Kubernetes",AI/ML,Undergraduate,5,Machine Learning Engineer
"CSS, SQL, REST APIs, Statistics, Node.js, HTML, C++","Jupyter, Jira, GitHub",Cloud,Undergraduate,10,Cloud Engineer
"NLP, SQL, Networking, Figma, UI/UX, Power BI","PyCharm, Azure Portal, Jira",Web Development,Postgraduate,10,Backend Developer
"Python, TensorFlow, Kubernetes, Docker, AWS, UI/UX","GitLab, Jupyter",Design,Graduate,8,UI/UX Designer
"Docker, SQL, C++, UI/UX","Google Cloud, Figma, Kubernetes, AWS EC2",AI/ML,Graduate,10,Machine Learning Engineer
"Java, Git, Python, Deep Learning","PyCharm, Google Cloud, Docker",Design,Undergraduate,8,UI/UX Designer
"Machine Learning, Tableau, SQL, Node.js, Cybersecurity","Kubernetes, Postman, Google Cloud, Docker",Cloud,Postgraduate,9,DevOps Engineer
"C++, Git, Spark, Node.js, Networking, Azure, UI/UX","GitLab, Google Cloud, Jupyter, Figma",Cybersecurity,Postgraduate,4,Security Engineer
"Cybersecurity, Deep Learning, CSS, Java","Jira, VS Code",Cybersecurity,Postgraduate,2,Cybersecurity Analyst
"Spark, AWS, C++, PyTorch","Postman, GitLab, Google Cloud, Azure Portal",Design,Graduate,10,UI/UX Designer
"Tableau, CSS, Machine Learning, C++, Java","Kubernetes, Docker, AWS EC2",Data Science,Graduate,0,Data Scientist
"Cybersecurity, Git, Hadoop, Tableau, Machine Learning, Kubernetes","Jira, Postman, Jupyter, Google Cloud",Design,Graduate,6,UI/UX Designer
"Machine Learning, CSS, Python, Hadoop","Google Cloud, VS Code",IoT,Postgraduate,4,Embedded Systems Engineer
"UI/UX, NLP, Networking, Data Analysis","AWS EC2, Jupyter, Google Cloud, VS Code",Web Development,Postgraduate,3,Frontend Developer
"Networking, Azure, Data Analysis, SQL, Machine Learning","Kubernetes, Postman, Azure Portal",Cloud,Undergraduate,10,DevOps Engineer
"C++, HTML, SQL, Azure, React, UI/UX, AWS","VS Code, GitLab, Kubernetes, PyCharm",Cloud,Undergraduate,10,Cloud Engineer
"C++, Power BI, Statistics, PyTorch","Azure Portal, Docker, AWS EC2, Jira",IoT,Postgraduate,0,Embedded Systems Engineer
"Tableau, TensorFlow, Linux, Embedded Systems","Docker, Figma",Web Development,Undergraduate,2,Backend Developer
"Embedded Systems, Git, Java, Docker, UI/UX, Figma","Figma, Jira",Data Science,Postgraduate,3,Data Analyst
"Java, Statistics, C++, Spark","Google Cloud, Jira, Azure Portal, Postman",Data Science,Graduate,9,Data Scientist
"NLP, TensorFlow, Python, Linux, Statistics, HTML, PyTorch","Jira, Postman",Design,Undergraduate,4,UI/UX Designer
"Python, Docker, Networking, Tableau, Statistics, Java","Jira, GitHub, Docker, GitLab",Design,Graduate,3,UI/UX Designer
"Java, Azure, CSS, JavaScript, Node.js, REST APIs, Cybersecurity","Figma, Jupyter",IoT,Postgraduate,6,Embedded Systems Engineer
"Statistics, Deep Learning, Python, Machine Learning, HTML, NLP","Azure Portal, Jira, Docker",Cybersecurity,Postgraduate,8,Security Engineer
"React, UI/UX, SQL, HTML, Node.js, Cybersecurity, Python","Azure Portal, Postman, Google Cloud",AI/ML,Postgraduate,10,AI Engineer
"Linux, Figma, Docker, Tableau, PyTorch","VS Code, Figma, Jupyter",Web Development,Postgraduate,3,Backend Developer
"HTML, React, Node.js, TensorFlow, REST APIs, Docker","Jira, Docker, Google Cloud, Figma",AI/ML,Graduate,10,Machine Learning Engineer
"Java, Python, Kubernetes, Linux, Hadoop, NLP, Data Analysis","AWS EC2, Google Cloud, Azure Portal, GitHub",Data Science,Postgraduate,2,Data Scientist
"REST APIs, Python, Embedded Systems, Kubernetes, Docker","GitHub, Figma, Azure Portal, Docker",Design,Undergraduate,9,UI/UX Designer
"React, Node.js, PyTorch, CSS, JavaScript","Postman, Jupyter, Docker, Figma",Data Science,Postgraduate,3,Data Analyst
"CSS, NLP, Deep Learning, Embedded Systems, JavaScript","VS Code, Docker, Azure Portal",IoT,Undergraduate,7,Embedded Systems Engineer
"C++, TensorFlow, REST APIs, UI/UX","Jupyter, Docker, Postman, AWS EC2",AI/ML,Graduate,0,Machine Learning Engineer
"Linux, JavaScript, Java, Embedded Systems, Hadoop, Azure","Kubernetes, Azure Portal",IoT,Undergraduate,8,Embedded Systems Engineer
"HTML, Cybersecurity, Python, Hadoop, Linux, REST APIs","VS Code, Azure Portal",IoT,Postgraduate,5,Embedded Systems Engineer
"Spark, NLP, Git, AWS","Postman, Google Cloud, GitLab, Azure Portal",Data Science,Graduate,8,Data Analyst
"SQL, Tableau, Spark, PyTorch, Embedded Systems, REST APIs","Google Cloud, AWS EC2, GitLab",Cybersecurity,Graduate,6,Cybersecurity Analyst
"JavaScript, React, Tableau, Python, Figma","Kubernetes, GitLab",IoT,Undergraduate,4,Embedded Systems Engineer
"Networking, React, Docker, SQL","VS Code, Kubernetes, Jupyter, AWS EC2",IoT,Postgraduate,8,Embedded Systems Engineer
"Linux, Embedded Systems, SQL, Spark, HTML, Node.js","AWS EC2, GitHub, Google Cloud",IoT,Postgraduate,9,Embedded Systems Engineer
"Machine Learning, TensorFlow, SQL, PyTorch, Cybersecurity, CSS","Figma, Jira, AWS EC2, Azure Portal",Cybersecurity,Postgraduate,4,Security Engineer
"Kubernetes, REST APIs, CSS, C++, Docker, Node.js, Azure","AWS EC2, Jira, Postman, Google Cloud",Cybersecurity,Postgraduate,2,Cybersecurity Analyst
"Linux, Hadoop, JavaScript, Machine Learning, HTML, Docker, TensorFlow","Postman, Docker, Jira",Design,Undergraduate,3,UI/UX Designer
"Deep Learning, AWS, Cybersecurity, SQL, TensorFlow, Power BI","Jupyter, Docker, AWS EC2, Figma",Web Development,Graduate,0,Backend Developer
"Networking, Figma, JavaScript, Data Analysis, Hadoop, Spark","VS Code, GitHub, AWS EC2, GitLab",Web Development,Graduate,6,Backend Developer
"Hadoop, Node.js, Deep Learning, Python, Azure, Networking","Figma, PyCharm",Design,Postgraduate,7,UI/UX Designer
"Networking, Java, HTML, Hadoop, Deep Learning, CSS","VS Code, AWS EC2, Docker",AI/ML,Postgraduate,5,Machine Learning Engineer
"Deep Learning, NLP, REST APIs, Cybersecurity, Tableau, SQL, Statistics","Docker, Figma",Data Science,Undergraduate,0,Data Analyst
"UI/UX, Linux, Hadoop, Figma","Jupyter, VS Code",Cloud,Graduate,8,Cloud Engineer
"Power BI, Data Analysis, Spark, Machine Learning","GitLab, Google Cloud",Cybersecurity,Graduate,3,Security Engineer
"Figma, Docker, Deep Learning, Cybersecurity, REST APIs, SQL, Machine Learning","Jira, GitLab, Postman",Data Science,Graduate,1,Data Analyst
"REST APIs, JavaScript, SQL, Deep Learning, Cybersecurity, Spark","Google Cloud, Kubernetes, AWS EC2",Cybersecurity,Postgraduate,0,Cybersecurity Analyst
"C++, HTML, TensorFlow, CSS, Machine Learning","Postman, GitLab",Cybersecurity,Postgraduate,6,Security Engineer
"Azure, Cybersecurity, Data Analysis, Tableau, Power BI","VS Code, Docker, Kubernetes, PyCharm",Cybersecurity,Graduate,2,Cybersecurity Analyst
"AWS, Embedded Systems, JavaScript, Data Analysis, Kubernetes, Python","Kubernetes, Docker",Cybersecurity,Undergraduate,9,Security Engineer
"Java, Figma, Data Analysis, Git, JavaScript, C++","GitHub, Jupyter, PyCharm",Data Science,Undergraduate,5,Data Scientist
"CSS, Docker, Tableau, Linux, AWS","Docker, Figma, VS Code",Cloud,Graduate,3,DevOps Engineer
"Data Analysis, Embedded Systems, Cybersecurity, Statistics","Kubernetes, Jira",IoT,Postgraduate,9,Embedded Systems Engineer
"Spark, TensorFlow, REST APIs, NLP, Git, Embedded Systems, Machine Learning","Kubernetes, Google Cloud",Design,Postgraduate,4,UI/UX Designer
"Hadoop, Networking, AWS, HTML, C++, Linux, JavaScript","Jira, Docker, VS Code, Azure Portal",AI/ML,Postgraduate,4,AI Engineer
"SQL, PyTorch, TensorFlow, Java, Kubernetes, Embedded Systems, UI/UX","Docker, GitHub, Figma",AI/ML,Graduate,6,AI Engineer
"TensorFlow, Statistics, React, REST APIs, Python, HTML, Data Analysis","GitLab, VS Code, AWS EC2",IoT,Postgraduate,2,Embedded Systems Engineer
"Figma, Cybersecurity, UI/UX, Hadoop, Tableau","Kubernetes, Jupyter, Azure Portal",Design,Graduate,8,UI/UX Designer
"PyTorch, Hadoop, Statistics, TensorFlow","Jira, GitHub, Docker",IoT,Postgraduate,6,Embedded Systems Engineer
"Java, Tableau, AWS, Git, Embedded Systems","Jupyter, Postman, Google Cloud, Azure Portal",Cloud,Postgraduate,0,DevOps Engineer
"Machine Learning, AWS, Tableau, Statistics, UI/UX, Git, Cybersecurity","Docker, Postman",IoT,Graduate,5,Embedded Systems Engineer
"Networking, Linux, Statistics, CSS, SQL, PyTorch","VS Code, Jupyter",Data Science,Graduate,4,Data Analyst
"Data Analysis, Azure, Statistics, Spark, Node.js, HTML, Docker","GitLab, Postman",Data Science,Postgraduate,6,Data Scientist
"Power BI, TensorFlow, Java, REST APIs, Embedded Systems","VS Code, GitHub, Postman",Web Development,Postgraduate,2,Frontend Developer
"Hadoop, Azure, Tableau, Data Analysis, AWS, Python","Kubernetes, VS Code, Figma, Jupyter",AI/ML,Graduate,7,AI Engineer
"HTML, JavaScript, SQL, React, Cybersecurity, Docker, Hadoop","Docker, Postman",Cybersecurity,Undergraduate,8,Cybersecurity Analyst
"Spark, REST APIs, JavaScript, Python, Machine Learning","Figma, Jupyter, AWS EC2",Data Science,Undergraduate,2,Data Analyst
"PyTorch, Linux, Spark, Tableau, Git, React","Docker, AWS EC2, Figma, Postman",Design,Graduate,2,UI/UX Designer
"HTML, SQL, Spark, Git, Cybersecurity","GitHub, Docker",AI/ML,Graduate,5,AI Engineer
"Figma, Node.js, Statistics, Java, Machine Learning","Postman, Jira, Google Cloud",IoT,Undergraduate,8,Embedded Systems Engineer
"Data Analysis, Deep Learning, React, Git, AWS, Hadoop","Docker, Jupyter",Web Development,Postgraduate,1,Frontend Developer
"CSS, TensorFlow, JavaScript, React, REST APIs","VS Code, PyCharm",AI/ML,Undergraduate,0,AI Engineer
"NLP, TensorFlow, CSS, Azure, UI/UX, Data Analysis, Git","Figma, GitLab",IoT,Postgraduate,1,Embedded Systems Engineer
"AWS, Tableau, Spark, Power BI","Jira, GitHub, GitLab, Kubernetes",Data Science,Graduate,1,Data Analyst
"TensorFlow, Java, Node.js, HTML","PyCharm, VS Code, GitHub, AWS EC2",Data Science,Undergraduate,8,Data Scientist
"Deep Learning, HTML, Figma, C++, REST APIs, Hadoop, NLP","Jupyter, Azure Portal, GitLab",IoT,Postgraduate,7,Embedded Systems Engineer
"C++, SQL, Machine Learning, Node.js","AWS EC2, GitLab",Design,Postgraduate,0,UI/UX Designer
"HTML, Kubernetes, REST APIs, Node.js, Cybersecurity, Spark","Azure Portal, GitHub, Jira",AI/ML,Graduate,10,Machine Learning Engineer
"REST APIs, Hadoop, Java, Cybersecurity, Deep Learning, CSS, Git","Jira, Google Cloud",Web Development,Undergraduate,1,Frontend Developer
"REST APIs, Tableau, PyTorch, Azure, Data Analysis","PyCharm, GitLab, Figma, Jira",Cybersecurity,Postgraduate,0,Security Engineer
"Docker, Networking, Java, C++","Kubernetes, Docker, Figma, GitLab",Design,Postgraduate,1,UI/UX Designer
"NLP, Tableau, Hadoop, Figma, Deep Learning","Google Cloud, AWS EC2, Jupyter",IoT,Graduate,0,Embedded Systems Engineer
"Power BI, Kubernetes, UI/UX, Tableau, NLP","GitLab, Google Cloud, Jupyter",Design,Postgraduate,10,UI/UX Designer
"NLP, Machine Learning, HTML, Cybersecurity, Azure, Docker","Jupyter, GitLab, Jira",Cloud,Graduate,8,Cloud Engineer
"Figma, Kubernetes, Machine Learning, Networking","Kubernetes, Azure Portal",Design,Undergraduate,3,UI/UX Designer
"Embedded Systems, SQL, Docker, Figma, Power BI, Cybersecurity","PyCharm, VS Code, GitHub",Web Development,Undergraduate,2,Frontend Developer
"Node.js, Git, CSS, TensorFlow","Postman, Figma",Design,Postgraduate,8,UI/UX Designer
"Cybersecurity, Git, HTML, REST APIs","AWS EC2, Postman, Kubernetes, VS Code",Data Science,Postgraduate,0,Data Scientist
"Kubernetes, Data Analysis, Git, REST APIs","Figma, Postman, Docker, GitHub",AI/ML,Postgraduate,1,AI Engineer
"NLP, Spark, Power BI, Git, Python, Embedded Systems, Linux","GitLab, GitHub, Figma",Cloud,Postgraduate,7,Cloud Engineer
"Statistics, Hadoop, Java, REST APIs, Cybersecurity, CSS, JavaScript","GitHub, Google Cloud, Postman",AI/ML,Graduate,0,Machine Learning Engineer
"Deep Learning, C++, Kubernetes, CSS, Embedded Systems, PyTorch","GitHub, GitLab, Kubernetes",Data Science,Postgraduate,5,Data Scientist
"CSS, UI/UX, Git, Docker, AWS, Java","Google Cloud, Kubernetes, Azure Portal",Cybersecurity,Undergraduate,6,Cybersecurity Analyst
"JavaScript, Cybersecurity, CSS, UI/UX, Git","Jupyter, Google Cloud",Web Development,Undergraduate,2,Frontend Developer
"Cybersecurity, TensorFlow, Python, Networking, UI/UX, CSS","PyCharm, Figma, Google Cloud",Cloud,Graduate,2,DevOps Engineer
"Azure, TensorFlow, Hadoop, Networking","Jupyter, VS Code",Cloud,Graduate,10,DevOps Engineer
"PyTorch, TensorFlow, Spark, Figma, NLP, Power BI, C++","Azure Portal, Kubernetes, GitLab, Jira",Cybersecurity,Undergraduate,8,Security Engineer
"Tableau, SQL, Power BI, Spark, UI/UX, JavaScript","GitLab, Google Cloud",Cloud,Undergraduate,5,DevOps Engineer
"JavaScript, Spark, Power BI, TensorFlow, PyTorch, Linux","Jira, Google Cloud, VS Code, Azure Portal",IoT,Undergraduate,8,Embedded Systems Engineer
"Tableau, Git, Azure, TensorFlow, React","Jupyter, Kubernetes, PyCharm, AWS EC2",Design,Undergraduate,0,UI/UX Designer
"JavaScript, PyTorch, UI/UX, Node.js","VS Code, Kubernetes, GitLab, AWS EC2",Cybersecurity,Postgraduate,10,Security Engineer
"Deep Learning, Figma, Networking, SQL","AWS EC2, Figma, Docker, GitLab",IoT,Postgraduate,5,Embedded Systems Engineer
"Power BI, HTML, TensorFlow, Node.js, Data Analysis, JavaScript","AWS EC2, VS Code, Jupyter",Design,Graduate,1,UI/UX Designer
"Embedded Systems, REST APIs, CSS, Figma, Tableau, Git, Node.js","Figma, GitLab, Azure Portal",Cybersecurity,Undergraduate,0,Cybersecurity Analyst
"Tableau, Spark, PyTorch, Embedded Systems","Google Cloud, Jira, Figma, AWS EC2",AI/ML,Graduate,8,Machine Learning Engineer
"PyTorch, React, JavaScript, Deep Learning","VS Code, Kubernetes, Postman, PyCharm",Web Development,Postgraduate,6,Frontend Developer
"Data Analysis, Git, Machine Learning, TensorFlow, Deep Learning, Linux","Jupyter, VS Code, Jira, AWS EC2",Design,Postgraduate,10,UI/UX Designer
"Kubernetes, Python, Git, React, Node.js, REST APIs","PyCharm, GitHub, Jira, Postman",IoT,Postgraduate,7,Embedded Systems Engineer
"Java, Deep Learning, Hadoop, Python, Data Analysis","Docker, PyCharm, Jupyter",Cybersecurity,Undergraduate,9,Cybersecurity Analyst
"Machine Learning, Azure, Docker, React, Power BI, Python, Figma","Azure Portal, Docker, Jira, GitLab",Cloud,Postgraduate,9,DevOps Engineer
"UI/UX, Node.js, JavaScript, C++, REST APIs, Git","Jupyter, Azure Portal",Design,Postgraduate,6,UI/UX Designer
"Java, Git, Cybersecurity, HTML, REST APIs","GitLab, Jupyter, Google Cloud, Azure Portal",AI/ML,Undergraduate,3,AI Engineer
"Tableau, C++, Data Analysis, Docker","Azure Portal, VS Code",Design,Postgraduate,4,UI/UX Designer
"AWS, Embedded Systems, NLP, Cybersecurity","Jupyter, Figma, Google Cloud, AWS EC2",Cybersecurity,Undergraduate,3,Security Engineer
"Tableau, SQL, Python, Networking","Jira, PyCharm",AI/ML,Undergraduate,3,AI Engineer
"CSS, SQL, REST APIs, Tableau, Java, Python","Jira, GitLab, Kubernetes",Design,Undergraduate,2,UI/UX Designer
"Python, Statistics, AWS, Hadoop","VS Code, Google Cloud, Docker",IoT,Postgraduate,0,Embedded Systems Engineer
"Java, CSS, Data Analysis, HTML, Networking","Kubernetes, PyCharm",IoT,Graduate,10,Embedded Systems Engineer
"Machine Learning, Hadoop, Tableau, Java, TensorFlow, Data Analysis","PyCharm, Postman, GitHub",AI/ML,Postgraduate,5,AI Engineer
"React, C++, AWS, Statistics, Azure, Docker, NLP","Docker, Jira, Jupyter, Kubernetes",Web Development,Graduate,9,Backend Developer
"Cybersecurity, Hadoop, Git, TensorFlow, C++","Google Cloud, GitLab, Azure Portal, Jupyter",IoT,Graduate,4,Embedded Systems Engineer
"NLP, Python, Java, PyTorch, Azure, CSS","Jupyter, Figma, GitHub",Web Development,Undergraduate,2,Backend Developer
"PyTorch, CSS, Node.js, React, Statistics, SQL, Tableau","Kubernetes, Figma, Jira",IoT,Postgraduate,1,Embedded Systems Engineer
"Python, NLP, Git, Azure","GitHub, PyCharm, GitLab, Figma",Cloud,Undergraduate,5,DevOps Engineer
"Tableau, Data Analysis, SQL, Java","Azure Portal, Jira",Web Development,Postgraduate,10,Backend Developer
"Kubernetes, Spark, REST APIs, Machine Learning, NLP","Kubernetes, Docker, AWS EC2",AI/ML,Undergraduate,1,Machine Learning Engineer
"C++, Cybersecurity, React, HTML","AWS EC2, GitLab, Docker, VS Code",Cloud,Undergraduate,9,DevOps Engineer
"React, Networking, Embedded Systems, Node.js, Java, TensorFlow","Google Cloud, GitHub, GitLab, VS Code",Design,Postgraduate,4,UI/UX Designer
"Docker, Power BI, HTML, Networking, React, NLP, Azure","GitHub, Azure Portal, AWS EC2, Postman",IoT,Postgraduate,0,Embedded Systems Engineer
"Kubernetes, Statistics, Machine Learning, Embedded Systems, React, PyTorch, Power BI","Jupyter, VS Code, GitLab",AI/ML,Postgraduate,6,AI Engineer
"TensorFlow, Machine Learning, React, AWS, UI/UX, Node.js","GitHub, Azure Portal, Jupyter, Docker",Web Development,Graduate,1,Backend Developer
"Figma, Statistics, REST APIs, Data Analysis","Jira, GitLab, Figma",Cloud,Postgraduate,7,DevOps Engineer
"Embedded Systems, PyTorch, Hadoop, Figma","Figma, Postman, Azure Portal, GitLab",IoT,Undergraduate,6,Embedded Systems Engineer
"Node.js, Spark, Java, Deep Learning, REST APIs, Machine Learning, React","Jupyter, Kubernetes, Azure Portal",Cybersecurity,Postgraduate,0,Cybersecurity Analyst
"Machine Learning, PyTorch, Embedded Systems, NLP, HTML","Google Cloud, Jupyter, PyCharm, Kubernetes",Design,Postgraduate,10,UI/UX Designer
"Hadoop, AWS, HTML, TensorFlow","VS Code, Figma, GitHub",IoT,Postgraduate,6,Embedded Systems Engineer
"Python, Statistics, React, Embedded Systems, REST APIs, UI/UX","PyCharm, GitHub, GitLab, Google Cloud",Cybersecurity,Undergraduate,4,Security Engineer
"REST APIs, Linux, SQL, Spark, AWS","VS Code, GitHub, Kubernetes",Cybersecurity,Postgraduate,10,Cybersecurity Analyst
"Networking, Docker, Java, SQL","GitLab, Azure Portal",Cloud,Undergraduate,0,Cloud Engineer
"PyTorch, Deep Learning, TensorFlow, Azure, SQL, Networking","PyCharm, Jupyter, GitLab",Cloud,Undergraduate,4,DevOps Engineer
"React, Embedded Systems, SQL, CSS","Azure Portal, PyCharm",Web Development,Graduate,5,Frontend Developer
"Figma, CSS, Cybersecurity, Node.js","Figma, Azure Portal, GitLab, Jupyter",Cloud,Postgraduate,10,DevOps Engineer
"Figma, Power BI, Hadoop, Git, Machine Learning, Azure","Azure Portal, AWS EC2, GitLab, Google Cloud",AI/ML,Graduate,2,AI Engineer
"Node.js, Cybersecurity, Embedded Systems, AWS, Figma, Docker, Machine Learning","PyCharm, Kubernetes",Cybersecurity,Undergraduate,10,Cybersecurity Analyst
"React, Machine Learning, Python, Docker, Networking, Git","Google Cloud, PyCharm, Jupyter",Cybersecurity,Postgraduate,1,Security Engineer
"Statistics, Linux, PyTorch, Git, C++, TensorFlow","Google Cloud, Jupyter, GitHub, Postman",IoT,Postgraduate,8,Embedded Systems Engineer
"Machine Learning, UI/UX, Networking, JavaScript, Statistics, Azure, Tableau","Figma, Jupyter",Cybersecurity,Undergraduate,8,Cybersecurity Analyst
"AWS, HTML, PyTorch, JavaScript, React, Python","GitHub, PyCharm, Google Cloud, Kubernetes",Design,Graduate,3,UI/UX Designer
"Cybersecurity, Tableau, Networking, Power BI","Jupyter, AWS EC2, Docker",Cloud,Graduate,9,DevOps Engineer
"Hadoop, Deep Learning, Data Analysis, UI/UX, SQL","Postman, Google Cloud, Kubernetes",Data Science,Postgraduate,10,Data Analyst
"Tableau, Deep Learning, Machine Learning, Networking, AWS","Jira, VS Code, Docker, Azure Portal",Web Development,Graduate,3,Backend Developer
"NLP, Hadoop, Spark, SQL","Jupyter, Google Cloud",Cybersecurity,Postgraduate,3,Cybersecurity Analyst
"Machine Learning, SQL, TensorFlow, Linux","Google Cloud, PyCharm",Data Science,Graduate,6,Data Analyst
"Azure, Kubernetes, Node.js, SQL","Postman, GitHub",Design,Postgraduate,8,UI/UX Designer
"Hadoop, HTML, CSS, Deep Learning","GitHub, Kubernetes, Jira",Cloud,Postgraduate,2,DevOps Engineer
"Python, JavaScript, REST APIs, Node.js, Git, CSS, SQL","Kubernetes, GitLab",Cloud,Undergraduate,9,DevOps Engineer
"Data Analysis, Docker, TensorFlow, NLP","AWS EC2, Azure Portal",Cloud,Undergraduate,1,DevOps Engineer
"Docker, Python, Kubernetes, PyTorch, Power BI","Figma, Jira",Design,Postgraduate,10,UI/UX Designer
"Node.js, HTML, Hadoop, REST APIs, Networking","AWS EC2, GitLab",Cloud,Undergraduate,3,Cloud Engineer
"Git, Cybersecurity, Node.js, Power BI","Kubernetes, GitLab, PyCharm, Postman",Cybersecurity,Undergraduate,4,Cybersecurity Analyst
"Figma, Tableau, Hadoop, Java, Cybersecurity","VS Code, Postman",Cybersecurity,Graduate,1,Cybersecurity Analyst
"Node.js, React, Power BI, Deep Learning","VS Code, Kubernetes, Jupyter, Figma",Cloud,Undergraduate,1,Cloud Engineer
"JavaScript, React, TensorFlow, Java, SQL","Postman, Jupyter, GitHub",Cloud,Graduate,3,DevOps Engineer
"JavaScript, Figma, Azure, Power BI","Docker, AWS EC2, Figma, Google Cloud",Cloud,Graduate,0,Cloud Engineer
"Spark, React, SQL, Docker","Kubernetes, GitHub, Docker, Google Cloud",Web Development,Undergraduate,0,Backend Developer
"UI/UX, NLP, Spark, SQL","Azure Portal, GitHub",Cloud,Undergraduate,10,DevOps Engineer
"Figma, NLP, Docker, PyTorch, Java, Spark, Hadoop","PyCharm, GitHub, GitLab, Jupyter",AI/ML,Postgraduate,0,Machine Learning Engineer
"NLP, REST APIs, Java, Docker, C++, Statistics, React","Google Cloud, Figma",Web Development,Undergraduate,0,Frontend Developer
"TensorFlow, Python, Embedded Systems, Hadoop, Git, Spark","Jupyter, GitHub",IoT,Graduate,2,Embedded Systems Engineer
"Tableau, UI/UX, Deep Learning, Spark, JavaScript","GitHub, Postman, Jira",IoT,Graduate,0,Embedded Systems Engineer
"TensorFlow, Deep Learning, Kubernetes, HTML","Google Cloud, VS Code, Docker",AI/ML,Undergraduate,5,AI Engineer
"Linux, SQL, NLP, Tableau, PyTorch, Deep Learning","AWS EC2, GitLab",IoT,Graduate,4,Embedded Systems Engineer
"SQL, Power BI, Spark, Kubernetes, Data Analysis, Tableau, Azure","Figma, Jupyter",Web Development,Graduate,6,Frontend Developer
