,Skills,Tools,Interests,Education,Recommended Career,Recommended_Career
2119,"tensorflow, c++, aws, node.js, tableau","figma, google cloud, github, postman",web development,graduate,Frontend Developer,frontend developer
2120,"sql, css, spark, pytorch, python, figma, react","github, vs code, aws ec2, pycharm",web development,undergraduate,Backend Developer,backend developer
2121,"tableau, spark, power bi, kubernetes","azure portal, github",cybersecurity,graduate,Cybersecurity Analyst,cybersecurity analyst
2122,"linux, power bi, javascript, ui/ux","figma, azure portal",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
2123,"data analysis, sql, git, tensorflow","pycharm, vs code",ai/ml,postgraduate,Machine Learning Engineer,machine learning engineer
2124,"java, react, ui/ux, azure","aws ec2, vs code, docker, github",web development,postgraduate,Backend Developer,backend developer
2125,"tableau, react, rest apis, figma, css, networking","github, kubernetes, postman, vs code",iot,graduate,Embedded Systems Engineer,embedded systems engineer
2126,"tableau, git, pytorch, c++, embedded systems","pycharm, docker",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
2127,"javascript, aws, data analysis, deep learning, networking","jupyter, azure portal, gitlab, docker",design,graduate,UI/UX Designer,ui/ux designer
2128,"hadoop, embedded systems, tensorflow, javascript, networking, power bi, kubernetes","azure portal, kubernetes, aws ec2",ai/ml,postgraduate,AI Engineer,ai engineer
2129,"statistics, rest apis, pytorch, cybersecurity, java","gitlab, google cloud, github",iot,graduate,Embedded Systems Engineer,embedded systems engineer
2130,"machine learning, data analysis, html, ui/ux","kubernetes, aws ec2",ai/ml,postgraduate,Machine Learning Engineer,machine learning engineer
2131,"nlp, tableau, cybersecurity, react","kubernetes, pycharm, gitlab, azure portal",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
2132,"c++, pytorch, css, docker, spark","vs code, github, pycharm",web development,graduate,Backend Developer,backend developer
2133,"embedded systems, pytorch, data analysis, cybersecurity, rest apis, docker, javascript","gitlab, jupyter, github",cloud,postgraduate,Cloud Engineer,cloud engineer
2134,"machine learning, tableau, java, kubernetes","figma, pycharm",data science,undergraduate,Data Analyst,data analyst
2135,"pytorch, html, deep learning, node.js, sql, figma, javascript","postman, google cloud, azure portal",cybersecurity,undergraduate,Cybersecurity Analyst,cybersecurity analyst
2136,"java, tensorflow, pytorch, react, ui/ux, nlp","kubernetes, jupyter, aws ec2, azure portal",cybersecurity,postgraduate,Cybersecurity Analyst,cybersecurity analyst
2137,"java, embedded systems, docker, react, hadoop, node.js","vs code, jira, docker, google cloud",web development,undergraduate,Backend Developer,backend developer
2138,"data analysis, c++, power bi, javascript, hadoop, linux, nlp","kubernetes, figma",cybersecurity,undergraduate,Cybersecurity Analyst,cybersecurity analyst
2139,"embedded systems, nlp, html, linux","aws ec2, gitlab, pycharm, azure portal",data science,graduate,Data Analyst,data analyst
2140,"node.js, aws, ui/ux, react","github, jira",cloud,undergraduate,Cloud Engineer,cloud engineer
2141,"java, javascript, html, pytorch, figma","github, aws ec2, docker",cloud,graduate,Cloud Engineer,cloud engineer
2142,"sql, css, node.js, linux, java","kubernetes, gitlab",cloud,undergraduate,Cloud Engineer,cloud engineer
2143,"statistics, linux, spark, git, pytorch","figma, docker, kubernetes",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
2144,"css, rest apis, networking, docker, machine learning","github, postman, kubernetes, aws ec2",design,graduate,UI/UX Designer,ui/ux designer
2145,"css, git, embedded systems, nlp, javascript, spark, java","github, figma",cloud,postgraduate,Cloud Engineer,cloud engineer
2146,"figma, react, sql, aws","gitlab, jupyter",ai/ml,graduate,Machine Learning Engineer,machine learning engineer
2147,"c++, react, spark, linux, statistics","kubernetes, azure portal",iot,graduate,Embedded Systems Engineer,embedded systems engineer
2148,"aws, docker, node.js, statistics","docker, vs code, gitlab, aws ec2",data science,graduate,Data Analyst,data analyst
2149,"node.js, kubernetes, azure, networking","figma, gitlab, github, kubernetes",data science,postgraduate,Data Analyst,data analyst
2150,"azure, aws, react, nlp, javascript","google cloud, pycharm, docker, jira",cybersecurity,graduate,Security Engineer,security engineer
2151,"sql, kubernetes, javascript, react, linux, rest apis, deep learning","kubernetes, docker",web development,postgraduate,Frontend Developer,frontend developer
2152,"node.js, ui/ux, linux, embedded systems, figma, power bi, aws","github, postman",iot,graduate,Embedded Systems Engineer,embedded systems engineer
2153,"node.js, linux, cybersecurity, docker","github, kubernetes",cybersecurity,graduate,Security Engineer,security engineer
2154,"python, spark, git, docker, cybersecurity, nlp, aws","kubernetes, azure portal, jupyter, google cloud",cybersecurity,undergraduate,Cybersecurity Analyst,cybersecurity analyst
2155,"tensorflow, data analysis, rest apis, sql","vs code, jira, azure portal, kubernetes",cybersecurity,undergraduate,Security Engineer,security engineer
2156,"data analysis, cybersecurity, pytorch, css, figma, linux","pycharm, gitlab, aws ec2, jupyter",cybersecurity,undergraduate,Cybersecurity Analyst,cybersecurity analyst
2157,"pytorch, spark, tableau, html, sql","jupyter, gitlab, jira",iot,graduate,Embedded Systems Engineer,embedded systems engineer
2158,"statistics, node.js, ui/ux, sql, c++, tableau","github, postman, docker, google cloud",cloud,undergraduate,DevOps Engineer,devops engineer
2159,"html, aws, data analysis, tensorflow, machine learning, rest apis","aws ec2, jupyter, docker",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
2160,"spark, rest apis, c++, cybersecurity, python","aws ec2, pycharm, github",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
2161,"node.js, tableau, spark, data analysis, git, aws","jupyter, aws ec2",cloud,graduate,DevOps Engineer,devops engineer
2162,"html, rest apis, azure, networking, css","gitlab, aws ec2",design,postgraduate,UI/UX Designer,ui/ux designer
2163,"kubernetes, git, machine learning, java","jira, gitlab, github, docker",cybersecurity,undergraduate,Cybersecurity Analyst,cybersecurity analyst
2164,"c++, react, html, cybersecurity, tableau, kubernetes, machine learning","docker, azure portal",ai/ml,graduate,Machine Learning Engineer,machine learning engineer
2165,"kubernetes, networking, azure, cybersecurity, tableau, deep learning","pycharm, postman, aws ec2, kubernetes",ai/ml,postgraduate,AI Engineer,ai engineer
2166,"html, networking, node.js, spark, java","google cloud, azure portal, jupyter",cybersecurity,graduate,Cybersecurity Analyst,cybersecurity analyst
2167,"kubernetes, hadoop, css, python, sql, node.js","github, docker, gitlab",ai/ml,undergraduate,AI Engineer,ai engineer
2168,"hadoop, spark, pytorch, node.js, linux, embedded systems","jupyter, google cloud, figma, pycharm",web development,graduate,Frontend Developer,frontend developer
2169,"react, node.js, sql, kubernetes","postman, docker, github, jira",data science,postgraduate,Data Scientist,data scientist
2170,"networking, machine learning, c++, node.js","pycharm, gitlab",ai/ml,graduate,AI Engineer,ai engineer
2171,"machine learning, deep learning, figma, embedded systems, docker, linux, sql","vs code, jupyter, docker",cybersecurity,postgraduate,Security Engineer,security engineer
2172,"azure, python, machine learning, networking, embedded systems, tableau, java","azure portal, kubernetes, aws ec2, github",data science,undergraduate,Data Scientist,data scientist
2173,"power bi, deep learning, pytorch, c++, rest apis, data analysis, machine learning","figma, vs code, gitlab, jupyter",web development,graduate,Frontend Developer,frontend developer
2174,"rest apis, statistics, html, git, spark, hadoop","kubernetes, aws ec2",cloud,postgraduate,DevOps Engineer,devops engineer
2175,"tensorflow, kubernetes, spark, react, deep learning, statistics, tableau","azure portal, google cloud, figma",ai/ml,postgraduate,AI Engineer,ai engineer
2176,"kubernetes, node.js, html, tableau, javascript, nlp, deep learning","github, postman, pycharm, gitlab",ai/ml,undergraduate,Machine Learning Engineer,machine learning engineer
2177,"nlp, docker, figma, spark, tensorflow, aws","aws ec2, pycharm",cybersecurity,postgraduate,Security Engineer,security engineer
2178,"pytorch, html, react, java","gitlab, jira",data science,undergraduate,Data Analyst,data analyst
2179,"ui/ux, html, power bi, rest apis, machine learning","docker, vs code, kubernetes",cybersecurity,postgraduate,Security Engineer,security engineer
2180,"javascript, aws, nlp, figma","vs code, figma, google cloud",cybersecurity,graduate,Security Engineer,security engineer
2181,"pytorch, rest apis, spark, networking, ui/ux","gitlab, kubernetes, vs code, pycharm",cybersecurity,undergraduate,Security Engineer,security engineer
2182,"git, css, data analysis, python, tensorflow","kubernetes, github",data science,postgraduate,Data Analyst,data analyst
2183,"node.js, power bi, java, spark","kubernetes, pycharm, vs code",cybersecurity,postgraduate,Cybersecurity Analyst,cybersecurity analyst
2184,"docker, git, deep learning, cybersecurity, sql, python","google cloud, kubernetes, gitlab",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
2185,"azure, docker, embedded systems, rest apis, figma, html","github, postman, google cloud, jira",design,postgraduate,UI/UX Designer,ui/ux designer
2186,"linux, cybersecurity, pytorch, deep learning","docker, vs code, aws ec2",cloud,graduate,DevOps Engineer,devops engineer
2187,"docker, linux, networking, tableau","google cloud, jira, kubernetes, vs code",iot,graduate,Embedded Systems Engineer,embedded systems engineer
2188,"html, java, react, azure, pytorch, c++","jupyter, jira, figma, github",web development,undergraduate,Frontend Developer,frontend developer
2189,"machine learning, azure, cybersecurity, tableau","gitlab, pycharm, docker, postman",ai/ml,graduate,Machine Learning Engineer,machine learning engineer
2190,"javascript, linux, css, machine learning, kubernetes","docker, jupyter",ai/ml,graduate,AI Engineer,ai engineer
2191,"linux, sql, css, cybersecurity, ui/ux, java, tableau","jira, kubernetes, google cloud, github",cybersecurity,postgraduate,Security Engineer,security engineer
2192,"python, cybersecurity, embedded systems, git, aws, pytorch, hadoop","jupyter, jira, figma",design,undergraduate,UI/UX Designer,ui/ux designer
2193,"node.js, spark, data analysis, git, c++","pycharm, jupyter, github",web development,graduate,Backend Developer,backend developer
2194,"sql, css, react, javascript, nlp, deep learning","azure portal, figma, postman, kubernetes",web development,postgraduate,Frontend Developer,frontend developer
2195,"java, react, networking, figma, tableau, python","figma, vs code",data science,graduate,Data Scientist,data scientist
2196,"figma, git, python, sql, ui/ux, data analysis, machine learning","figma, kubernetes, jira, vs code",cybersecurity,undergraduate,Cybersecurity Analyst,cybersecurity analyst
2197,"rest apis, react, java, docker","kubernetes, github, pycharm, postman",ai/ml,undergraduate,Machine Learning Engineer,machine learning engineer
2198,"pytorch, machine learning, docker, hadoop, power bi","docker, gitlab, vs code",ai/ml,postgraduate,AI Engineer,ai engineer
2199,"hadoop, sql, spark, python","azure portal, docker, jupyter",web development,postgraduate,Backend Developer,backend developer
2200,"c++, git, linux, ui/ux, react, java","docker, aws ec2",cybersecurity,graduate,Cybersecurity Analyst,cybersecurity analyst
2201,"figma, tableau, azure, aws, machine learning, node.js, docker","google cloud, aws ec2, figma, kubernetes",design,undergraduate,UI/UX Designer,ui/ux designer
2202,"nlp, docker, javascript, python, sql, node.js","jupyter, vs code, azure portal, kubernetes",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
2203,"node.js, kubernetes, java, python","figma, azure portal",web development,undergraduate,Frontend Developer,frontend developer
2204,"deep learning, node.js, java, hadoop, cybersecurity","figma, google cloud",cybersecurity,postgraduate,Security Engineer,security engineer
2205,"nlp, javascript, cybersecurity, c++","github, google cloud, figma",cloud,postgraduate,DevOps Engineer,devops engineer
2206,"tableau, deep learning, ui/ux, data analysis","github, aws ec2",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
2207,"docker, linux, deep learning, networking","kubernetes, aws ec2",ai/ml,graduate,AI Engineer,ai engineer
2208,"ui/ux, aws, tableau, kubernetes","gitlab, postman",data science,postgraduate,Data Analyst,data analyst
2209,"css, html, java, kubernetes, docker, embedded systems, react","figma, jira, jupyter",ai/ml,undergraduate,Machine Learning Engineer,machine learning engineer
2210,"cybersecurity, ui/ux, css, hadoop, statistics","kubernetes, postman, google cloud",data science,graduate,Data Scientist,data scientist
2211,"docker, figma, embedded systems, statistics, deep learning, kubernetes, java","kubernetes, pycharm, github, jira",ai/ml,postgraduate,AI Engineer,ai engineer
2212,"hadoop, c++, ui/ux, node.js","gitlab, vs code",cybersecurity,undergraduate,Cybersecurity Analyst,cybersecurity analyst
2213,"docker, networking, css, deep learning, kubernetes, linux, tableau","gitlab, google cloud, docker",design,undergraduate,UI/UX Designer,ui/ux designer
2214,"css, machine learning, azure, hadoop, node.js","gitlab, figma, jupyter",data science,postgraduate,Data Scientist,data scientist
2215,"html, node.js, spark, tableau, deep learning, networking","postman, vs code",cybersecurity,undergraduate,Cybersecurity Analyst,cybersecurity analyst
2216,"react, javascript, kubernetes, azure, power bi","docker, figma, postman, vs code",data science,graduate,Data Scientist,data scientist
2217,"machine learning, python, linux, c++, css, statistics, react","azure portal, vs code, postman, figma",design,graduate,UI/UX Designer,ui/ux designer
2218,"pytorch, embedded systems, hadoop, statistics, sql, ui/ux","pycharm, vs code, postman",cloud,graduate,DevOps Engineer,devops engineer
2219,"kubernetes, rest apis, css, c++, figma, cybersecurity, java","github, postman",data science,graduate,Data Analyst,data analyst
2220,"react, linux, azure, javascript","figma, postman, aws ec2, kubernetes",design,postgraduate,UI/UX Designer,ui/ux designer
2221,"data analysis, tableau, javascript, networking, docker, statistics, hadoop","aws ec2, jira, kubernetes, github",ai/ml,undergraduate,AI Engineer,ai engineer
2222,"deep learning, html, python, pytorch, data analysis","gitlab, google cloud, vs code",cybersecurity,undergraduate,Security Engineer,security engineer
2223,"tensorflow, kubernetes, javascript, tableau, power bi, node.js, statistics","figma, google cloud",cybersecurity,undergraduate,Cybersecurity Analyst,cybersecurity analyst
2224,"cybersecurity, azure, power bi, machine learning, docker, java, javascript","github, azure portal, google cloud, vs code",web development,undergraduate,Backend Developer,backend developer
2225,"tableau, css, deep learning, java, nlp, figma","vs code, jupyter, pycharm, docker",design,undergraduate,UI/UX Designer,ui/ux designer
2226,"cybersecurity, aws, data analysis, node.js, react","github, pycharm",design,undergraduate,UI/UX Designer,ui/ux designer
2227,"statistics, azure, data analysis, machine learning, react","figma, azure portal, postman",data science,postgraduate,Data Scientist,data scientist
2228,"machine learning, sql, tableau, tensorflow","kubernetes, vs code, azure portal, jira",design,undergraduate,UI/UX Designer,ui/ux designer
2229,"node.js, javascript, data analysis, linux, c++, pytorch, figma","azure portal, github",ai/ml,graduate,AI Engineer,ai engineer
2230,"hadoop, css, c++, cybersecurity","kubernetes, jupyter, aws ec2, gitlab",iot,graduate,Embedded Systems Engineer,embedded systems engineer
2231,"hadoop, c++, node.js, machine learning","figma, github, docker, kubernetes",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
2232,"data analysis, sql, python, kubernetes","gitlab, postman",ai/ml,undergraduate,AI Engineer,ai engineer
2233,"data analysis, node.js, embedded systems, azure, networking, cybersecurity","vs code, google cloud",cloud,graduate,Cloud Engineer,cloud engineer
2234,"statistics, react, ui/ux, java, figma","vs code, gitlab",iot,graduate,Embedded Systems Engineer,embedded systems engineer
2235,"javascript, pytorch, tensorflow, html, aws, linux, java","github, gitlab",web development,undergraduate,Frontend Developer,frontend developer
2236,"data analysis, spark, aws, rest apis, machine learning, azure, python","postman, gitlab",ai/ml,postgraduate,AI Engineer,ai engineer
2237,"java, pytorch, azure, embedded systems, deep learning","github, postman, jupyter, figma",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
2238,"ui/ux, css, tableau, hadoop, deep learning, networking, java","github, google cloud, jira",cloud,postgraduate,DevOps Engineer,devops engineer
2239,"c++, docker, cybersecurity, tableau","gitlab, github, figma, google cloud",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
2240,"tableau, nlp, networking, node.js, git","jira, docker, vs code",web development,postgraduate,Frontend Developer,frontend developer
2241,"spark, power bi, statistics, java, nlp, ui/ux","jupyter, jira, gitlab, github",web development,postgraduate,Backend Developer,backend developer
2242,"azure, tableau, networking, git, kubernetes, statistics","github, jupyter, kubernetes",web development,postgraduate,Frontend Developer,frontend developer
2243,"statistics, networking, aws, node.js, tensorflow","vs code, aws ec2, azure portal, jupyter",data science,graduate,Data Scientist,data scientist
2244,"aws, spark, git, javascript","azure portal, aws ec2",web development,undergraduate,Frontend Developer,frontend developer
2245,"git, rest apis, spark, ui/ux, deep learning","kubernetes, jupyter",cybersecurity,graduate,Security Engineer,security engineer
2246,"sql, hadoop, embedded systems, tableau, react, git","azure portal, jira",data science,postgraduate,Data Analyst,data analyst
2247,"cybersecurity, nlp, statistics, azure, sql, pytorch, spark","vs code, azure portal, postman",data science,undergraduate,Data Scientist,data scientist
2248,"kubernetes, c++, python, hadoop, java, css","github, jupyter, docker, aws ec2",web development,undergraduate,Backend Developer,backend developer
2249,"ui/ux, pytorch, sql, rest apis","gitlab, google cloud, vs code, jira",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
2250,"java, linux, docker, aws, css, cybersecurity, python","kubernetes, jupyter, pycharm, jira",cloud,postgraduate,Cloud Engineer,cloud engineer
2251,"machine learning, deep learning, c++, html, aws, sql","github, docker, jupyter, gitlab",ai/ml,undergraduate,AI Engineer,ai engineer
2252,"machine learning, linux, deep learning, power bi, c++, hadoop","kubernetes, pycharm, gitlab, postman",cybersecurity,graduate,Security Engineer,security engineer
2253,"html, tensorflow, css, node.js, azure, spark","vs code, docker, figma, aws ec2",web development,graduate,Backend Developer,backend developer
2254,"data analysis, cybersecurity, machine learning, sql, azure, kubernetes, linux","vs code, azure portal, github",ai/ml,postgraduate,Machine Learning Engineer,machine learning engineer
2255,"machine learning, cybersecurity, statistics, react, html, ui/ux, docker","docker, pycharm, aws ec2, github",ai/ml,postgraduate,AI Engineer,ai engineer
2256,"kubernetes, sql, ui/ux, node.js, networking","jira, figma, kubernetes",data science,graduate,Data Scientist,data scientist
2257,"figma, spark, kubernetes, embedded systems, css, node.js, ui/ux","google cloud, github, docker, jupyter",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
2258,"cybersecurity, react, machine learning, tableau, javascript, aws","gitlab, docker",web development,graduate,Backend Developer,backend developer
2259,"figma, azure, docker, aws","jupyter, google cloud",web development,graduate,Frontend Developer,frontend developer
2260,"node.js, statistics, docker, power bi, spark, deep learning","google cloud, github",web development,undergraduate,Backend Developer,backend developer
2261,"cybersecurity, tensorflow, pytorch, networking, machine learning, docker","postman, figma, docker, github",cloud,postgraduate,Cloud Engineer,cloud engineer
2262,"rest apis, networking, data analysis, java","google cloud, kubernetes",cybersecurity,undergraduate,Security Engineer,security engineer
2263,"react, javascript, pytorch, data analysis, deep learning","github, vs code, azure portal",web development,undergraduate,Backend Developer,backend developer
2264,"power bi, networking, c++, deep learning, java","figma, azure portal",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
2265,"embedded systems, cybersecurity, tableau, javascript","google cloud, docker, aws ec2, vs code",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
2266,"react, git, java, pytorch, machine learning, javascript, embedded systems","aws ec2, docker",cybersecurity,graduate,Cybersecurity Analyst,cybersecurity analyst
2267,"python, git, rest apis, tableau","google cloud, figma, azure portal",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
2268,"c++, deep learning, kubernetes, machine learning, statistics","kubernetes, gitlab, aws ec2, figma",cybersecurity,postgraduate,Security Engineer,security engineer
2269,"c++, embedded systems, power bi, figma, java, spark","figma, jira, google cloud, docker",cybersecurity,postgraduate,Security Engineer,security engineer
2270,"pytorch, hadoop, sql, html, data analysis, kubernetes, embedded systems","azure portal, gitlab, figma",design,undergraduate,UI/UX Designer,ui/ux designer
2271,"react, aws, rest apis, ui/ux","postman, google cloud, kubernetes, pycharm",cybersecurity,graduate,Cybersecurity Analyst,cybersecurity analyst
2272,"sql, tableau, statistics, networking, docker, html, power bi","google cloud, github, docker, jira",design,graduate,UI/UX Designer,ui/ux designer
2273,"c++, sql, deep learning, figma, tensorflow, azure","aws ec2, azure portal, github",design,undergraduate,UI/UX Designer,ui/ux designer
2274,"c++, kubernetes, data analysis, tensorflow, embedded systems","aws ec2, azure portal",cybersecurity,postgraduate,Cybersecurity Analyst,cybersecurity analyst
2275,"git, nlp, java, embedded systems, spark","postman, kubernetes",design,postgraduate,UI/UX Designer,ui/ux designer
2276,"statistics, java, cybersecurity, tableau, azure","jira, docker, figma",ai/ml,undergraduate,AI Engineer,ai engineer
2277,"networking, c++, nlp, pytorch","github, docker, jupyter, jira",ai/ml,graduate,Machine Learning Engineer,machine learning engineer
2278,"react, figma, pytorch, deep learning, git","azure portal, figma, postman, jupyter",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
2279,"azure, javascript, sql, tableau, deep learning","aws ec2, kubernetes, figma",web development,postgraduate,Frontend Developer,frontend developer
2280,"machine learning, power bi, embedded systems, tensorflow, azure, sql, linux","jupyter, figma",cloud,postgraduate,Cloud Engineer,cloud engineer
2281,"cybersecurity, sql, git, networking, css, nlp","google cloud, gitlab",cloud,postgraduate,DevOps Engineer,devops engineer
2282,"javascript, azure, html, nlp","figma, vs code, kubernetes, docker",ai/ml,undergraduate,AI Engineer,ai engineer
2283,"ui/ux, html, sql, aws, cybersecurity","figma, github, pycharm, kubernetes",design,graduate,UI/UX Designer,ui/ux designer
2284,"html, docker, javascript, pytorch, c++","aws ec2, figma, github, azure portal",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
2285,"nlp, machine learning, kubernetes, tensorflow, node.js, networking","figma, jira, aws ec2, kubernetes",cloud,postgraduate,DevOps Engineer,devops engineer
2286,"node.js, data analysis, pytorch, machine learning, nlp, aws, cybersecurity","kubernetes, figma",cloud,undergraduate,DevOps Engineer,devops engineer
2287,"cybersecurity, statistics, azure, networking","aws ec2, github",ai/ml,postgraduate,Machine Learning Engineer,machine learning engineer
2288,"html, css, docker, c++","aws ec2, jira, github",design,undergraduate,UI/UX Designer,ui/ux designer
2289,"figma, ui/ux, html, cybersecurity, tableau, pytorch","vs code, google cloud, postman, jira",data science,undergraduate,Data Scientist,data scientist
2290,"rest apis, linux, machine learning, azure","docker, postman, kubernetes",data science,graduate,Data Analyst,data analyst
2291,"sql, power bi, aws, git","azure portal, aws ec2, jira",data science,graduate,Data Scientist,data scientist
2292,"sql, tensorflow, aws, rest apis, html, git, javascript","jupyter, gitlab, jira, google cloud",design,undergraduate,UI/UX Designer,ui/ux designer
2293,"css, tensorflow, react, azure, power bi, hadoop","pycharm, aws ec2",cloud,graduate,Cloud Engineer,cloud engineer
2294,"python, html, ui/ux, networking, aws, tensorflow","figma, jupyter",data science,postgraduate,Data Scientist,data scientist
2295,"tableau, machine learning, figma, nlp, networking, kubernetes","gitlab, figma",web development,postgraduate,Backend Developer,backend developer
2296,"azure, figma, c++, javascript, html, react","jira, kubernetes",cybersecurity,graduate,Cybersecurity Analyst,cybersecurity analyst
2297,"cybersecurity, sql, ui/ux, python, networking","postman, jira, gitlab",cybersecurity,graduate,Cybersecurity Analyst,cybersecurity analyst
2298,"kubernetes, node.js, figma, azure, nlp","vs code, postman",cybersecurity,postgraduate,Security Engineer,security engineer
2299,"html, c++, spark, node.js","azure portal, figma, github",iot,graduate,Embedded Systems Engineer,embedded systems engineer
2300,"aws, ui/ux, nlp, git, react, embedded systems, cybersecurity","jira, jupyter, gitlab, vs code",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
2301,"html, statistics, linux, hadoop, tensorflow, nlp","jupyter, azure portal",cloud,postgraduate,Cloud Engineer,cloud engineer
2302,"spark, kubernetes, docker, tensorflow, css, tableau, c++","jira, figma, vs code",iot,graduate,Embedded Systems Engineer,embedded systems engineer
2303,"node.js, java, spark, javascript, aws, cybersecurity","aws ec2, figma, jupyter, azure portal",ai/ml,graduate,Machine Learning Engineer,machine learning engineer
2304,"cybersecurity, nlp, git, python","azure portal, vs code",web development,undergraduate,Backend Developer,backend developer
2305,"css, deep learning, tableau, linux, pytorch","jira, vs code",cybersecurity,postgraduate,Cybersecurity Analyst,cybersecurity analyst
2306,"embedded systems, data analysis, tensorflow, statistics, linux","aws ec2, azure portal, pycharm, jupyter",web development,postgraduate,Backend Developer,backend developer
2307,"deep learning, tensorflow, aws, git, rest apis, figma, embedded systems","pycharm, aws ec2, figma",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
2308,"embedded systems, linux, figma, deep learning, sql, machine learning","pycharm, vs code",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
2309,"hadoop, linux, aws, power bi, statistics, figma","kubernetes, gitlab, postman",cloud,postgraduate,DevOps Engineer,devops engineer
2310,"rest apis, linux, aws, embedded systems, tableau","figma, docker, vs code, postman",cloud,graduate,Cloud Engineer,cloud engineer
2311,"javascript, embedded systems, react, sql","docker, jira, pycharm, postman",cybersecurity,undergraduate,Cybersecurity Analyst,cybersecurity analyst
2312,"pytorch, css, linux, sql","figma, postman, github, vs code",ai/ml,postgraduate,AI Engineer,ai engineer
2313,"embedded systems, cybersecurity, machine learning, deep learning","jupyter, docker",web development,graduate,Frontend Developer,frontend developer
2314,"kubernetes, figma, data analysis, azure, deep learning, aws, hadoop","pycharm, aws ec2, github",cybersecurity,graduate,Cybersecurity Analyst,cybersecurity analyst
2315,"sql, aws, node.js, embedded systems","figma, azure portal, github",ai/ml,undergraduate,Machine Learning Engineer,machine learning engineer
2316,"c++, data analysis, cybersecurity, css, react, python, machine learning","jupyter, jira, postman, figma",data science,graduate,Data Analyst,data analyst
2317,"networking, tableau, statistics, html, tensorflow, java, embedded systems","jupyter, pycharm",design,graduate,UI/UX Designer,ui/ux designer
2318,"tensorflow, pytorch, node.js, ui/ux","github, jupyter, aws ec2, vs code",web development,undergraduate,Backend Developer,backend developer
2319,"hadoop, ui/ux, css, linux, statistics, git","aws ec2, vs code, jupyter",design,postgraduate,UI/UX Designer,ui/ux designer
2320,"kubernetes, tensorflow, tableau, git, html, power bi","google cloud, figma, jupyter, aws ec2",web development,graduate,Backend Developer,backend developer
2321,"sql, javascript, c++, networking, statistics, tensorflow, spark","azure portal, pycharm",cloud,postgraduate,DevOps Engineer,devops engineer
2322,"pytorch, css, power bi, kubernetes, networking, spark, python","gitlab, azure portal",cloud,postgraduate,Cloud Engineer,cloud engineer
2323,"node.js, javascript, git, power bi, nlp, css","docker, aws ec2",data science,undergraduate,Data Analyst,data analyst
2324,"aws, css, javascript, tensorflow, sql, power bi","kubernetes, google cloud",ai/ml,postgraduate,Machine Learning Engineer,machine learning engineer
2325,"nlp, azure, ui/ux, data analysis","azure portal, aws ec2",web development,undergraduate,Backend Developer,backend developer
2326,"rest apis, react, git, spark","aws ec2, gitlab",design,graduate,UI/UX Designer,ui/ux designer
2327,"networking, c++, ui/ux, css, embedded systems, react, figma","github, vs code, jupyter, azure portal",data science,graduate,Data Analyst,data analyst
2328,"data analysis, power bi, python, ui/ux, css","gitlab, google cloud",design,undergraduate,UI/UX Designer,ui/ux designer
2329,"java, javascript, power bi, statistics, cybersecurity, react","github, gitlab",design,postgraduate,UI/UX Designer,ui/ux designer
2330,"css, sql, python, cybersecurity, embedded systems, statistics, hadoop","aws ec2, figma, gitlab, google cloud",data science,undergraduate,Data Analyst,data analyst
2331,"nlp, sql, kubernetes, linux, git, deep learning, react","jira, kubernetes, jupyter",data science,postgraduate,Data Scientist,data scientist
2332,"machine learning, kubernetes, spark, statistics, pytorch, linux","docker, vs code, figma, kubernetes",web development,postgraduate,Backend Developer,backend developer
2333,"data analysis, tensorflow, spark, tableau","kubernetes, jira, jupyter, google cloud",iot,graduate,Embedded Systems Engineer,embedded systems engineer
2334,"deep learning, html, figma, azure, sql","google cloud, postman, github, azure portal",ai/ml,graduate,AI Engineer,ai engineer
2335,"networking, python, hadoop, react, node.js, spark, java","postman, vs code",cloud,postgraduate,Cloud Engineer,cloud engineer
2336,"node.js, css, linux, azure, aws, html, spark","postman, pycharm, github",design,graduate,UI/UX Designer,ui/ux designer
2337,"networking, linux, docker, machine learning, python, aws","aws ec2, pycharm, postman",ai/ml,undergraduate,Machine Learning Engineer,machine learning engineer
2338,"figma, kubernetes, css, html","docker, gitlab",design,postgraduate,UI/UX Designer,ui/ux designer
